issue_id,area,field_or_table,issue_type,issue_description,severity,root_cause_hypothesis,business_impact,dashboard_impact,treatment,status,confidence_level,owner_or_reviewer,open_question,notes
DQ-01,Join grain,"orders, order_items, order_payments",Join grain / fan-out,"9,803 orders multi-item (max 21); 2,961 multi-payment (max 29)",High,"orders, items and payments are stored at different grains","Naive join inflates product revenue +4.5%, cash +26.9%","revenue and payment KPIs inflate (~+4.5% product, +27% cash) if joined directly",Aggregate items & payments to order grain before joining,Resolved,High,Ruijie Ma (analyst) / pending review,Should freight sit inside published GMV or only as a separate dashboard line?,
DQ-02,Geolocation,geolocation,Duplication,"1,000,163 rows for 19,015 zip prefixes (~53x)",High,"geolocation logs many lat/lng pings per zip prefix, not one canonical point",Prevents geo-join row explosion,any geo map/aggregate explodes ~53× if joined un-deduped; state revenue is read from customers.customer_state instead,"Dedupe to one row per prefix (mean lat/lng, modal city/state)",Resolved,High,Ruijie Ma (analyst) / pending review,"Is modal city/state per prefix accurate enough for a city-level map, or is a gazetteer needed?",
DQ-03,Identity,customers.customer_id vs customer_unique_id,Identity grain,"99,441 customer_id collapse to 96,096 customer_unique_id",High,Olist issues a fresh customer_id per order; customer_unique_id is the stable person key,"Repeat rate = 3.12% (finding, not a bug)","using customer_id as the person zeroes the 3.12% repeat rate and overstates customer count by ~3,345",Key RFM/repeat on customer_unique_id,Resolved,High,Ruijie Ma (analyst) / pending review,"With no contact keys, could customer_unique_id still under-count repeats across long gaps?",
DQ-04,Reviews,"order_reviews.review_comment_message, review_comment_title",Missing data,"comment_message missing 58,247 (58.7%); title 87,656 (88.3%)",Medium,the review comment is an optional free-text field; most buyers leave a score only,Voice-of-customer limited to a validated sample,"voice-of-customer panels reflect a self-selected 41% subset, not all customers","Scope text analysis to the 40,977 with text; flag, don't impute",Resolved,High,Ruijie Ma (analyst) / pending review,"Are silent (score-only) customers systematically happier, biasing the text sample negative?",
DQ-05,Orders,orders (delivered_customer/carrier/approved dates),Missing data,"Missing delivery dates: delivered 2,965; carrier 1,783; approved 160",Medium,delivery timestamps populate only once an order reaches that stage; missing = not-yet/never delivered,Delivery metrics computed on delivered-with-dates only,treating missing as 0-day delivery would understate median delivery (10.2 d) and overstate the on-time rate,Tie to non-delivered status; exclude from delivery KPIs,Resolved,High,Ruijie Ma (analyst) / pending review,Should canceled/undelivered orders surface as a separate 'fulfilment gap' KPI rather than be dropped?,
DQ-06,Products,products.product_category_name,Missing data,610 products missing category (+ name/desc/photos),Medium,610 products were never tagged with a category in the source catalog,Category Pareto includes an 'unknown' bucket,an 'unknown' slice (~1.85% of products) appears in the category Pareto; dropping it would hide real revenue,Map to English where possible; bucket nulls as 'unknown',Resolved,Medium,Ruijie Ma (analyst) / pending review,Can the missing categories be inferred from description length/dimensions to shrink the 'unknown' bucket?,
DQ-07,Categories,category_translation,Mapping gap,"2 PT categories absent from translation (pc_gamer, portateis_...)",Low,"two Portuguese categories (pc_gamer, portateis_...) were absent from the official translation table",74 vs 72 category total reconciled,without the manual labels these categories drop out of the English Pareto; 74 vs 72 categories reconciled,"Add manual English labels (gaming_pc, portable_kitchen_and_food_preparers)",Resolved,High,Ruijie Ma (analyst) / pending review,"Are the two hand-added labels the names stakeholders expect, or should they match an internal taxonomy?",
DQ-08,Payments,"order_payments.payment_value, payment_type",Invalid values,9 payments value <= 0; 3 payment_type 'not_defined',Low,a few legacy/adjustment rows carry non-positive values or an undefined payment type,Negligible effect on totals,negligible effect on totals; keeps payment-mix and cash KPIs clean,Flag and exclude from cash metrics,Resolved,High,Ruijie Ma (analyst) / pending review,Do the ≤0 rows represent refunds/chargebacks that belong in a separate returns metric?,
DQ-09,Orphans,orders vs order_items / order_payments,Orphan rows,775 orders with no item row; 1 with no payment,Low,775 orders never had an item row (canceled/unavailable before completion); 1 lacks a payment,Revenue computed on orders with items,including them would add zero-revenue orders and dilute AOV,Exclude from revenue (non-purchasable/canceled),Resolved,High,Ruijie Ma (analyst) / pending review,Should these surface as a 'failed order' operational metric rather than be silently excluded?,
DQ-10,AI derivation,"review_classification.topic, sentiment",Derived (AI) labels,"LLM review topic/sentiment labels (1,000-review sample)",Medium,topic and sentiment are not in the data; they are model-inferred from review text,"Topic kappa 0.81, sentiment kappa 0.89, star agree 83%","the topic breakdown (product 52% / delivery 38% of negatives) is directional from a 2.4% sample, not a full-population count",Validated vs independent 2nd LLM annotator + star rating,Validated,Medium,Ruijie Ma (analyst) / pending review,"Does full-population API classification of all 40,977 reviews shift the product-vs-delivery split?",
RI-00,Referential integrity,order_items/order_payments/order_reviews vs orders; order_items vs products,Referential integrity,items/payments/reviews vs orders; items vs products,Info,marketplace tables could in principle reference missing parents (broken foreign keys),Zero orphans across all four checks,"zero orphans found, so joins are safe and no rows are silently lost from KPIs",Anti-join checks in sql/profile_checks.sql,Verified,High,Ruijie Ma (analyst) / pending review,"Re-run the anti-joins whenever new monthly data lands, to catch drift?",
