table,field,dtype,technical_description,business_definition,example_value,allowed_values,missing_rate,used_in_dashboard,confidence_level,treatment_cleaning_rule,business_risk_if_misused,derived,notes
orders,order_id,str,Order identifier (spine key).,The unique order — the spine every other table joins to. One row per order placed.,e481f51cbb… (32-char hex),32-char hex string (unique),0%,No,High,Spine key; no cleaning. Referential integrity verified (RI-00).,Joining to items/payments without aggregating to order grain first multiplies rows (fan-out).,no,
orders,customer_id,str,Per-order customer key (FK to customers; NOT the person).,"Per-order customer key, not a unique person identifier. Do not use for retention analysis.",9ef432eb62… (32-char hex),32-char hex string,0%,No,Low,Use customer_unique_id for any customer/retention/RFM metric — see DQ-03.,Counting customer_id as people zeroes out repeat rate and overstates customer count.,no,
orders,order_status,str,delivered / shipped / canceled / unavailable / invoiced / processing / created / approved.,Lifecycle state of the order; only 'delivered' should count toward net revenue and delivery KPIs.,delivered,delivered / shipped / canceled / unavailable / invoiced / processing / created / approved,0%,Yes,High,Defines the 'delivered' flag; net revenue restricted to delivered (DQ-05).,Including non-delivered orders inflates net revenue and distorts delivery metrics.,no,
orders,order_purchase_timestamp,str,When the order was placed.,When the customer placed the order — clock-start for delivery time and basis for the monthly trend.,2017-11-24 19:43:12,datetime (YYYY-MM-DD HH:MM:SS),0%,Yes,High,Parsed to datetime; basis for purchase_ym and delivery_days.,Parse/timezone errors shift the monthly trend and every delivery-day calculation.,no,
orders,order_approved_at,str,Payment approval time (160 null).,When payment was approved; the gap to purchase measures payment-processing lag.,2017-11-24 20:01:55,datetime or null,0.16% (160),No,High,160 nulls tie to non-approved/canceled orders; excluded from approval-timing (DQ-05).,Treating nulls as zero-lag understates payment-processing time.,no,
orders,order_delivered_carrier_date,str,"Handover to carrier (1,783 null).",When the parcel was handed to the carrier; separates seller handling from carrier transit.,2017-11-27 14:20:00,datetime or null,"1.79% (1,783)",No,Medium,"1,783 nulls = not yet shipped; excluded from carrier-time metrics (DQ-05).",Reading missing as an instant handoff understates seller/carrier handling time.,no,
orders,order_delivered_customer_date,str,"Delivery to customer (2,965 null).","When the customer actually received the order — end-point for delivery time, the strongest signal associated with satisfaction.",2017-12-04 18:30:00,datetime or null,"2.98% (2,965)",Yes,Medium,"2,965 nulls = not delivered; excluded from delivery KPIs (DQ-05).",Counting missing as on-time/zero-day understates delivery time and overstates the on-time rate.,no,
orders,order_estimated_delivery_date,str,Promised delivery date.,The delivery date promised to the customer at purchase; the benchmark for 'late'.,2017-12-15 00:00:00,datetime,0%,Yes,High,Promised date; basis for is_late / on-time rate.,A wrong benchmark flips is_late and misstates the on-time rate.,no,
order_items,order_id,str,Order identifier (spine key).,Order this line item belongs to; the join back to the order spine (one order → many items).,e481f51cbb… (32-char hex),32-char hex string,0%,No,High,Aggregate items to order grain before joining (DQ-01).,A direct join multiplies product revenue by item count (~+4.5%).,no,
order_items,order_item_id,int64,Item sequence within the order (1..n).,"Line-item sequence number within an order (1, 2, 3…), not a quantity.",1,1..21 (integer),0%,No,High,"Counted per order → n_items, the fan-out indicator (DQ-01).",Mistaking the max sequence for quantity miscounts units sold.,no,
order_items,product_id,str,Product key (FK to products).,Which product was bought on this line; links the sale to category and dimensions.,aca2eb7d00… (32-char hex),32-char hex string,0%,No,High,FK to products; integrity verified (RI-00).,A broken product join drops category revenue from the Pareto.,no,
order_items,seller_id,str,Seller key (FK to sellers).,Which seller fulfilled this line; supports seller-level operations analysis.,3442f8959a… (32-char hex),32-char hex string,0%,No,High,FK to sellers; no cleaning.,Multi-seller orders fan out if seller joins aren't aggregated.,no,
order_items,shipping_limit_date,str,Seller shipping deadline.,Deadline for the seller to hand the line to the carrier; a fulfilment SLA marker.,2017-11-29 19:43:12,datetime,0%,No,High,No cleaning; not used in headline KPIs.,—,no,
order_items,price,float64,Item price (BRL); summed to GMV at order grain.,Merchandise price of the line in BRL — the raw material of GMV.,129.90,> 0 (BRL),0%,Yes,High,Summed to order grain (order_product_revenue / GMV) before joining (DQ-01).,Summing after a multi-grain join double-counts GMV (~+4.5%).,no,
order_items,freight_value,float64,Item freight (BRL); reported separately.,Shipping charged on the line in BRL; tracked separately from merchandise revenue.,18.29,≥ 0 (BRL),0%,No,High,Summed to order_freight; reported separately from GMV.,Folding freight into GMV overstates merchandise revenue.,no,
order_payments,order_id,str,Order identifier (spine key).,Order this payment row settles; one order can have several payment/installment rows.,e481f51cbb… (32-char hex),32-char hex string,0%,No,High,Aggregate payments to order grain before joining (DQ-01).,A direct join multiplies cash collected (~+27%).,no,
order_payments,payment_sequential,int64,Installment row sequence within the order.,"Sequence of the payment row within an order (installment/method split), not a separate sale.",1,1..29 (integer),0%,No,High,"Counted per order → n_payments, the fan-out indicator (DQ-01).",Treating each row as a separate payment overstates cash and order count.,no,
